,acc,loss,val_acc,val_loss
0,0.25505555555555554,2.5294495557149252,0.3285,2.2416582508087157
1,0.32405555555555554,2.2428196907043456,0.3615,2.095277397155762
2,0.35877777777777775,2.1145046804216174,0.3815,2.03154212474823
3,0.3849444444444444,2.0180913035074868,0.4015,1.9803623552322387
4,0.411,1.93323371442159,0.398,1.9853342056274415
5,0.43266666666666664,1.857295913696289,0.442,1.8336131248474121
6,0.4568888888888889,1.772967647658454,0.4385,1.8155156993865966
7,0.47705555555555557,1.7040565469529894,0.4665,1.7569360656738282
8,0.4985,1.6284816416634453,0.4675,1.7305532474517822
9,0.5216111111111111,1.5587561117808024,0.4685,1.7813020668029784
10,0.5387222222222222,1.4811068834728665,0.4975,1.671771559715271
11,0.5558333333333333,1.423720730887519,0.481,1.703329553604126
12,0.5835,1.3440786116917929,0.472,1.7771856260299683
13,0.6086111111111111,1.2560072549184162,0.5055,1.661523449420929
14,0.6275,1.189988187789917,0.508,1.7120901699066162
15,0.6518888888888889,1.1180808587604099,0.516,1.6534446067810058
16,0.6682222222222223,1.051542461183336,0.509,1.7177982387542725
17,0.6936666666666667,0.9776488095919291,0.543,1.6001690196990968
18,0.7128333333333333,0.9162380704879761,0.5375,1.6637839488983155
19,0.732,0.8559358611636692,0.5475,1.6426939730644226
20,0.7524444444444445,0.7838751997417874,0.569,1.624704538345337
21,0.7734444444444445,0.7182767905659145,0.5485,1.7047744770050048
22,0.7864444444444444,0.675371058093177,0.5535,1.662602933883667
23,0.7988888888888889,0.6369353620476192,0.5735,1.6516570415496825
24,0.8131111111111111,0.5801100208759308,0.565,1.7761431760787965
25,0.8251111111111111,0.544517794556088,0.571,1.692243016242981
26,0.8357777777777777,0.512334704372618,0.5715,1.8576253023147582
27,0.8483333333333334,0.4720536303122838,0.5695,1.7792107305526734
28,0.8588888888888889,0.4427838869492213,0.5885,1.7414842138290405
29,0.8656666666666667,0.41773135893874697,0.5815,1.896748888015747
30,0.8744444444444445,0.392695366024971,0.567,1.961345718383789
31,0.8805,0.3702731005748113,0.567,1.932276577949524
32,0.8903888888888889,0.34083266911241744,0.5915,1.8795717210769654
33,0.8911666666666667,0.3356830923822191,0.581,1.9784274063110352
34,0.9011666666666667,0.29969769672552743,0.59,1.8763857746124268
35,0.9045,0.28976916280057696,0.566,2.0864839515686033
36,0.9120555555555555,0.2785491381751166,0.57,2.025497136116028
37,0.9128888888888889,0.2678055908050802,0.572,2.1067216625213625
38,0.9177222222222222,0.252974600566758,0.594,1.9430989332199096
39,0.9178333333333333,0.24947573147217433,0.5895,1.9673174304962158
40,0.928,0.22081518624060684,0.584,2.050628987312317
41,0.9267777777777778,0.22934490448236466,0.569,2.30798171043396
42,0.9288333333333333,0.2143739943570561,0.591,2.048893310546875
43,0.9320555555555555,0.21311878519919183,0.5915,2.1520151081085204
44,0.9383333333333334,0.18891712686585055,0.5795,2.188447639465332
45,0.9377777777777778,0.19233403679066235,0.5705,2.1648404426574706
46,0.9394444444444444,0.19029278300205865,0.5975,2.1454815969467163
47,0.9407222222222222,0.18578600358963013,0.598,2.1323287153244017
48,0.9435555555555556,0.1740706766943137,0.598,2.2093777656555176
49,0.9426111111111111,0.17133356470366318,0.603,2.128150511741638
50,0.9427222222222222,0.17281347627441088,0.588,2.2370388860702515
51,0.9492777777777778,0.15756828684111437,0.5845,2.2389543895721435
52,0.9497777777777778,0.15426828680932522,0.5865,2.2275750741958618
53,0.9492222222222222,0.1529077621201674,0.588,2.24259211730957
54,0.9532222222222222,0.1417816924245821,0.5915,2.2576986303329467
55,0.954,0.13893048701766464,0.601,2.166960428237915
56,0.9527777777777777,0.1462830423646503,0.602,2.1588398141860963
57,0.9541666666666667,0.14283045107457373,0.599,2.195120611190796
58,0.9547222222222222,0.14356991507775255,0.595,2.301111087799072
59,0.9568333333333333,0.1362869553367297,0.592,2.2441205110549927
